show_id,date,venue,city,state,country,rating
june-18-1994-uic-pavilion-university-of-illinois-chicago-il-usa,1994-06-18,"UIC Pavilion, University of Illinois",Chicago,IL,USA,4.637
october-31-1994-glens-falls-civic-center-glens-falls-ny-usa,1994-10-31,Glens Falls Civic Center,Glens Falls,NY,USA,4.629
july-08-1994-great-woods-center-for-the-performing-arts-mansfield-ma-usa,1994-07-08,Great Woods Center for the Performing Arts,Mansfield,MA,USA,4.616
june-22-1994-veterans-memorial-auditorium-columbus-oh-usa,1994-06-22,Veterans Memorial Auditorium,Columbus,OH,USA,4.606
december-29-1994-providence-civic-center-providence-ri-usa,1994-12-29,Providence Civic Center,Providence,RI,USA,4.604
may-07-1994-the-bomb-factory-dallas-tx-usa,1994-05-07,The Bomb Factory,Dallas,TX,USA,4.56
july-16-1994-summer-stage-at-sugarbush-north-fayston-vt-usa,1994-07-16,Summerstage at Sugarbush North,Fayston,VT,USA,4.557
november-12-1994-mac-center-kent-state-university-kent-oh-usa,1994-11-12,"MAC Center, Kent State University",Kent,OH,USA,4.544
june-11-1994-red-rocks-amphitheatre-morrison-co-usa,1994-06-11,Red Rocks Amphitheatre,Morrison,CO,USA,4.53
july-13-1994-big-birch-concert-pavilion-patterson-ny-usa,1994-07-13,Big Birch Concert Pavilion,Patterson,NY,USA,4.524
november-28-1994-field-house-montana-state-university-bozeman-mt-usa,1994-11-28,"Brick Breeden Fieldhouse, Montana State University",Bozeman,MT,USA,4.523
november-26-1994-the-orpheum-theatre-minneapolis-mn-usa,1994-11-26,The Orpheum Theatre,Minneapolis,MN,USA,4.517
june-26-1994-municipal-auditorium-charleston-wv-usa,1994-06-26,Municipal Auditorium,Charleston,WV,USA,4.507
october-29-1994-spartanburg-memorial-auditorium-spartanburg-sc-usa,1994-10-29,Spartanburg Memorial Auditorium,Spartanburg,SC,USA,4.497
november-22-1994-jesse-auditorium-university-of-missouri-columbia-mo-usa,1994-11-22,"Jesse Auditorium, University of Missouri",Columbia,MO,USA,4.494
june-17-1994-eagles-ballroom-milwaukee-wi-usa,1994-06-17,Eagles Ballroom,Milwaukee,WI,USA,4.491
november-16-1994-hill-auditorium-university-of-michigan-ann-arbor-mi-usa,1994-11-16,"Hill Auditorium, University of Michigan",Ann Arbor,MI,USA,4.489
may-27-1994-warfield-theatre-san-francisco-ca-usa,1994-05-27,Warfield Theatre,San Francisco,CA,USA,4.484
november-23-1994-the-fox-theatre-st-louis-mo-usa,1994-11-23,The Fox Theatre,St. Louis,MO,USA,4.483
december-01-1994-salem-armory-salem-or-usa,1994-12-01,Salem Armory,Salem,OR,USA,4.482
november-30-1994-campus-recreation-center-evergreen-college-olympia-wa-usa,1994-11-30,"Campus Recreation Center, Evergreen College",Olympia,WA,USA,4.474
november-25-1994-uic-pavilion-university-of-illinois-chicago-il-usa,1994-11-25,"UIC Pavilion, University of Illinois",Chicago,IL,USA,4.47
october-18-1994-vanderbilt-university-memorial-gym-nashville-tn-usa,1994-10-18,Vanderbilt University Memorial Gym,Nashville,TN,USA,4.449
may-28-1994-laguna-seca-raceway-monterey-ca-usa,1994-05-28,Laguna Seca Raceway,Monterey,CA,USA,4.447
may-29-1994-laguna-seca-raceway-monterey-ca-usa,1994-05-29,Laguna Seca Raceway,Monterey,CA,USA,4.441
december-31-1994-boston-garden-boston-ma-usa,1994-12-31,Boston Garden,Boston,MA,USA,4.436
november-02-1994-bangor-auditorium-bangor-me-usa,1994-11-02,Bangor Auditorium,Bangor,ME,USA,4.435
april-24-1994-grady-cole-center-charlotte-nc-usa,1994-04-24,Grady Cole Center,Charlotte,NC,USA,4.419
december-09-1994-mesa-amphitheatre-mesa-az-usa,1994-12-09,Mesa Amphitheatre,Mesa,AZ,USA,4.418
december-08-1994-spreckels-theatre-san-diego-ca-usa,1994-12-08,Spreckels Theatre,San Diego,CA,USA,4.412
july-06-1994-theatre-st-denis-montral-qubec-canada,1994-07-06,Theatre St. Denis,"Montréal, Québec",,Canada,4.41
november-04-1994-onondaga-war-memorial-auditorium-syracuse-ny-usa,1994-11-04,Onondaga War Memorial Auditorium,Syracuse,NY,USA,4.41
november-14-1994-devos-hall-grand-rapids-mi-usa,1994-11-14,DeVos Hall,Grand Rapids,MI,USA,4.4
october-23-1994-band-shell-university-of-florida-gainesville-fl-usa,1994-10-23,"Band Shell, University of Florida",Gainesville,FL,USA,4.391
june-21-1994-cincinnati-music-hall-cincinnati-oh-usa,1994-06-21,Cincinnati Music Hall,Cincinnati,OH,USA,4.388
october-08-1994-patriot-center-george-mason-university-fairfax-va-usa,1994-10-08,"Patriot Center, George Mason University",Fairfax,VA,USA,4.37
june-30-1994-classic-amphitheater-richmond-va-usa,1994-06-30,Classic Amphitheater,Richmond,VA,USA,4.36
