show_id,date,venue,city,state,country,rating
december-31-1999-big-cypress-seminole-indian-reservation-big-cypress-fl-usa,1999-12-31,Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,4.695
june-14-2000-drum-logos-chuo-ku-fukuoka-japan,2000-06-14,Drum Logos,"Chuo-ku, Fukuoka",,Japan,4.652
april-03-1998-nassau-coliseum-uniondale-ny-usa,1998-04-03,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,4.648
december-31-1995-madison-square-garden-new-york-ny-usa,1995-12-31,Madison Square Garden,New York,NY,USA,4.647
july-27-2025-broadview-stage-at-spac-saratoga-springs-ny-usa,2025-07-27,Broadview Stage at SPAC,Saratoga Springs,NY,USA,4.644
december-30-1997-madison-square-garden-new-york-ny-usa,1997-12-30,Madison Square Garden,New York,NY,USA,4.643
october-31-1996-the-omni-atlanta-ga-usa,1996-10-31,The Omni,Atlanta,GA,USA,4.643
august-17-1997-loring-commerce-centre-limestone-me-usa,1997-08-17,Loring Commerce Centre,Limestone,ME,USA,4.64
november-17-1997-mcnichols-arena-denver-co-usa,1997-11-17,McNichols Arena,Denver,CO,USA,4.64
december-30-1999-big-cypress-seminole-indian-reservation-big-cypress-fl-usa,1999-12-30,Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,4.638
november-22-1997-hampton-coliseum-hampton-va-usa,1997-11-22,Hampton Coliseum,Hampton,VA,USA,4.638
june-18-1994-uic-pavilion-university-of-illinois-chicago-il-usa,1994-06-18,"UIC Pavilion, University of Illinois",Chicago,IL,USA,4.638
december-31-2023-madison-square-garden-new-york-ny-usa,2023-12-31,Madison Square Garden,New York,NY,USA,4.636
april-04-1998-providence-civic-center-providence-ri-usa,1998-04-04,Providence Civic Center,Providence,RI,USA,4.636
december-11-1997-rochester-war-memorial-rochester-ny-usa,1997-12-11,Rochester War Memorial,Rochester,NY,USA,4.635
february-28-2003-nassau-coliseum-uniondale-ny-usa,2003-02-28,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,4.634
july-11-2000-deer-creek-music-center-noblesville-in-usa,2000-07-11,Deer Creek Music Center,Noblesville,IN,USA,4.634
october-31-1994-glens-falls-civic-center-glens-falls-ny-usa,1994-10-31,Glens Falls Civic Center,Glens Falls,NY,USA,4.633
april-02-1998-nassau-coliseum-uniondale-ny-usa,1998-04-02,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,4.631
august-16-1997-loring-commerce-centre-limestone-me-usa,1997-08-16,Loring Commerce Centre,Limestone,ME,USA,4.63
august-22-2015-watkins-glen-international-watkins-glen-ny-usa,2015-08-22,Watkins Glen International,Watkins Glen,NY,USA,4.63
november-02-1998-the-e-center-west-valley-city-ut-usa,1998-11-02,The “E” Center,West Valley City,UT,USA,4.629
august-17-1996-plattsburgh-air-force-base-plattsburgh-ny-usa,1996-08-17,Plattsburgh Air Force Base,Plattsburgh,NY,USA,4.628
july-17-1998-gorge-amphitheatre-george-wa-usa,1998-07-17,Gorge Amphitheatre,George,WA,USA,4.628
december-31-1993-worcester-centrum-centre-worcester-ma-usa,1993-12-31,Worcester Centrum Centre,Worcester,MA,USA,4.627
august-02-2003-loring-commerce-centre-limestone-me-usa,2003-08-02,Loring Commerce Centre,Limestone,ME,USA,4.625
july-14-2019-alpine-valley-music-theatre-east-troy-wi-usa,2019-07-14,Alpine Valley Music Theatre,East Troy,WI,USA,4.625
july-25-2017-madison-square-garden-new-york-ny-usa,2017-07-25,Madison Square Garden,New York,NY,USA,4.624
december-07-1997-ervin-j-nutter-center-wright-state-university-dayton-oh-usa,1997-12-07,"Ervin J. Nutter Center, Wright State University",Dayton,OH,USA,4.623
july-23-1999-polaris-amphitheater-columbus-oh-usa,1999-07-23,Polaris Amphitheater,Columbus,OH,USA,4.621
december-06-1996-the-aladdin-theatre-las-vegas-nv-usa,1996-12-06,The Aladdin Theatre,Las Vegas,NV,USA,4.621
august-12-1998-vernon-downs-vernon-ny-usa,1998-08-12,Vernon Downs,Vernon,NY,USA,4.62
july-08-1994-great-woods-center-for-the-performing-arts-mansfield-ma-usa,1994-07-08,Great Woods Center for the Performing Arts,Mansfield,MA,USA,4.617
december-29-2024-madison-square-garden-new-york-ny-usa,2024-12-29,Madison Square Garden,New York,NY,USA,4.616
december-06-1997-the-palace-of-auburn-hills-auburn-hills-mi-usa,1997-12-06,The Palace of Auburn Hills,Auburn Hills,MI,USA,4.616
december-31-1998-madison-square-garden-new-york-ny-usa,1998-12-31,Madison Square Garden,New York,NY,USA,4.614
august-03-2003-loring-commerce-centre-limestone-me-usa,2003-08-03,Loring Commerce Centre,Limestone,ME,USA,4.612
november-27-1998-worcester-centrum-centre-worcester-ma-usa,1998-11-27,Worcester Centrum Centre,Worcester,MA,USA,4.612
