show_id,date,venue,city,state,country,rating
december-29-2024-madison-square-garden-new-york-ny-usa,2024-12-29,Madison Square Garden,New York,NY,USA,4.616
august-17-2024-the-woodlands-dover-de-usa,2024-08-17,The Woodlands,Dover,DE,USA,4.59
august-04-2024-ruoff-music-center-noblesville-in-usa,2024-08-04,Ruoff Music Center,Noblesville,IN,USA,4.558
april-21-2024-sphere-las-vegas-nv-usa,2024-04-21,Sphere,Las Vegas,NV,USA,4.555
august-16-2024-the-woodlands-dover-de-usa,2024-08-16,The Woodlands,Dover,DE,USA,4.55
december-31-2024-madison-square-garden-new-york-ny-usa,2024-12-31,Madison Square Garden,New York,NY,USA,4.536
august-09-2024-bethel-woods-center-for-the-arts-bethel-ny-usa,2024-08-09,Bethel Woods Center for the Arts,Bethel,NY,USA,4.531
august-30-2024-dicks-sporting-goods-park-commerce-city-co-usa,2024-08-30,Dick's Sporting Goods Park,Commerce City,CO,USA,4.5
april-19-2024-sphere-las-vegas-nv-usa,2024-04-19,Sphere,Las Vegas,NV,USA,4.498
february-23-2024-moon-palace-cancun-quintana-roo-mexico,2024-02-23,Moon Palace,"Cancun, Quintana Roo",,Mexico,4.497
july-30-2024-chaifetz-arena-saint-louis-university-st-louis-mo-usa,2024-07-30,"Chaifetz Arena, Saint Louis University",St. Louis,MO,USA,4.472
august-03-2024-ruoff-music-center-noblesville-in-usa,2024-08-03,Ruoff Music Center,Noblesville,IN,USA,4.461
august-06-2024-van-andel-arena-grand-rapids-mi-usa,2024-08-06,Van Andel Arena,Grand Rapids,MI,USA,4.45
july-27-2024-alpine-valley-music-theatre-east-troy-wi-usa,2024-07-27,Alpine Valley Music Theatre,East Troy,WI,USA,4.441
february-22-2024-moon-palace-cancun-quintana-roo-mexico,2024-02-22,Moon Palace,"Cancun, Quintana Roo",,Mexico,4.433
july-21-2024-xfinity-center-mansfield-ma-usa,2024-07-21,Xfinity Center,Mansfield,MA,USA,4.429
september-01-2024-dicks-sporting-goods-park-commerce-city-co-usa,2024-09-01,Dick's Sporting Goods Park,Commerce City,CO,USA,4.422
october-27-2024-mvp-arena-albany-ny-usa,2024-10-27,MVP Arena,Albany,NY,USA,4.41
december-30-2024-madison-square-garden-new-york-ny-usa,2024-12-30,Madison Square Garden,New York,NY,USA,4.406
april-20-2024-sphere-las-vegas-nv-usa,2024-04-20,Sphere,Las Vegas,NV,USA,4.353
april-18-2024-sphere-las-vegas-nv-usa,2024-04-18,Sphere,Las Vegas,NV,USA,4.345
august-15-2024-the-woodlands-dover-de-usa,2024-08-15,The Woodlands,Dover,DE,USA,4.321
august-11-2024-bethel-woods-center-for-the-arts-bethel-ny-usa,2024-08-11,Bethel Woods Center for the Arts,Bethel,NY,USA,4.301
october-25-2024-mvp-arena-albany-ny-usa,2024-10-25,MVP Arena,Albany,NY,USA,4.274
august-14-2024-the-woodlands-dover-de-usa,2024-08-14,The Woodlands,Dover,DE,USA,4.261
july-23-2024-mohegan-sun-arena-uncasville-ct-usa,2024-07-23,Mohegan Sun Arena,Uncasville,CT,USA,4.258
august-31-2024-dicks-sporting-goods-park-commerce-city-co-usa,2024-08-31,Dick's Sporting Goods Park,Commerce City,CO,USA,4.157
july-26-2024-alpine-valley-music-theatre-east-troy-wi-usa,2024-07-26,Alpine Valley Music Theatre,East Troy,WI,USA,4.137
august-02-2024-ruoff-music-center-noblesville-in-usa,2024-08-02,Ruoff Music Center,Noblesville,IN,USA,4.087
july-19-2024-xfinity-center-mansfield-ma-usa,2024-07-19,Xfinity Center,Mansfield,MA,USA,4.074
october-26-2024-mvp-arena-albany-ny-usa,2024-10-26,MVP Arena,Albany,NY,USA,3.995
august-29-2024-dicks-sporting-goods-park-commerce-city-co-usa,2024-08-29,Dick's Sporting Goods Park,Commerce City,CO,USA,3.983
august-07-2024-van-andel-arena-grand-rapids-mi-usa,2024-08-07,Van Andel Arena,Grand Rapids,MI,USA,3.933
july-31-2024-chaifetz-arena-saint-louis-university-st-louis-mo-usa,2024-07-31,"Chaifetz Arena, Saint Louis University",St. Louis,MO,USA,3.888
july-24-2024-mohegan-sun-arena-uncasville-ct-usa,2024-07-24,Mohegan Sun Arena,Uncasville,CT,USA,3.8
august-10-2024-bethel-woods-center-for-the-arts-bethel-ny-usa,2024-08-10,Bethel Woods Center for the Arts,Bethel,NY,USA,3.768
february-24-2024-moon-palace-cancun-quintana-roo-mexico,2024-02-24,Moon Palace,"Cancun, Quintana Roo",,Mexico,3.762
july-20-2024-xfinity-center-mansfield-ma-usa,2024-07-20,Xfinity Center,Mansfield,MA,USA,3.75
december-28-2024-madison-square-garden-new-york-ny-usa,2024-12-28,Madison Square Garden,New York,NY,USA,3.476
july-28-2024-alpine-valley-music-theatre-east-troy-wi-usa,2024-07-28,Alpine Valley Music Theatre,East Troy,WI,USA,3.46
july-17-2024-npr-headquarters-washington-dc-usa,2024-07-17,NPR Headquarters,Washington,DC,USA,3.415
august-18-2024-the-woodlands-dover-de-usa,2024-08-18,The Woodlands,Dover,DE,USA,3.395
july-11-2024-nbc-television-studios-studio-6b-new-york-ny-usa,2024-07-11,"NBC Television Studios, Studio 6B",New York,NY,USA,3.118
february-21-2024-moon-palace-cancun-quintana-roo-mexico,2024-02-21,Moon Palace,"Cancun, Quintana Roo",,Mexico,3.07
february-20-2024-moon-palace-cancun-quintana-roo-mexico,2024-02-20,Moon Palace,"Cancun, Quintana Roo",,Mexico,3.0
