show_id,date,venue,city,state,country,rating
october-29-2021-mgm-grand-garden-arena-las-vegas-nv-usa,2021-10-29,MGM Grand Garden Arena,Las Vegas,NV,USA,4.439
august-01-2021-ameris-bank-amphitheatre-alpharetta-ga-usa,2021-08-01,Ameris Bank Amphitheatre,Alpharetta,GA,USA,4.425
august-31-2021-shoreline-amphitheatre-mountain-view-ca-usa,2021-08-31,Shoreline Amphitheatre,Mountain View,CA,USA,4.415
october-16-2021-chase-center-san-francisco-ca-usa,2021-10-16,Chase Center,San Francisco,CA,USA,4.369
august-04-2021-ascend-amphitheater-nashville-tn-usa,2021-08-04,Ascend Amphitheater,Nashville,TN,USA,4.351
september-05-2021-dicks-sporting-goods-park-commerce-city-co-usa,2021-09-05,Dick's Sporting Goods Park,Commerce City,CO,USA,4.339
august-11-2021-hersheypark-stadium-hershey-pa-usa,2021-08-11,Hersheypark Stadium,Hershey,PA,USA,4.308
october-30-2021-mgm-grand-garden-arena-las-vegas-nv-usa,2021-10-30,MGM Grand Garden Arena,Las Vegas,NV,USA,4.304
october-24-2021-the-forum-inglewood-ca-usa,2021-10-24,The Forum,Inglewood,CA,USA,4.291
september-01-2021-shoreline-amphitheatre-mountain-view-ca-usa,2021-09-01,Shoreline Amphitheatre,Mountain View,CA,USA,4.26
october-31-2021-mgm-grand-garden-arena-las-vegas-nv-usa,2021-10-31,MGM Grand Garden Arena,Las Vegas,NV,USA,4.229
october-20-2021-matthew-knight-arena-eugene-or-usa,2021-10-20,Matthew Knight Arena,Eugene,OR,USA,4.193
august-15-2021-atlantic-city-beach-atlantic-city-nj-usa,2021-08-15,Atlantic City Beach,Atlantic City,NJ,USA,4.161
july-31-2021-ameris-bank-amphitheatre-alpharetta-ga-usa,2021-07-31,Ameris Bank Amphitheatre,Alpharetta,GA,USA,4.128
october-17-2021-chase-center-san-francisco-ca-usa,2021-10-17,Chase Center,San Francisco,CA,USA,4.124
july-30-2021-oak-mountain-amphitheatre-pelham-al-usa,2021-07-30,Oak Mountain Amphitheatre,Pelham,AL,USA,4.053
august-08-2021-ruoff-music-center-noblesville-in-usa,2021-08-08,Ruoff Music Center,Noblesville,IN,USA,4.006
december-31-2021-madison-square-garden-new-york-ny-usa,2021-12-31,Madison Square Garden,New York,NY,USA,4.0
october-26-2021-santa-barbara-bowl-santa-barbara-ca-usa,2021-10-26,Santa Barbara Bowl,Santa Barbara,CA,USA,3.937
august-14-2021-atlantic-city-beach-atlantic-city-nj-usa,2021-08-14,Atlantic City Beach,Atlantic City,NJ,USA,3.935
august-28-2021-gorge-amphitheatre-george-wa-usa,2021-08-28,Gorge Amphitheatre,George,WA,USA,3.877
september-03-2021-dicks-sporting-goods-park-commerce-city-co-usa,2021-09-03,Dick's Sporting Goods Park,Commerce City,CO,USA,3.864
august-13-2021-atlantic-city-beach-atlantic-city-nj-usa,2021-08-13,Atlantic City Beach,Atlantic City,NJ,USA,3.803
august-07-2021-ruoff-music-center-noblesville-in-usa,2021-08-07,Ruoff Music Center,Noblesville,IN,USA,3.76
october-22-2021-ak-chin-pavilion-phoenix-az-usa,2021-10-22,Ak-Chin Pavilion,Phoenix,AZ,USA,3.74
september-04-2021-dicks-sporting-goods-park-commerce-city-co-usa,2021-09-04,Dick's Sporting Goods Park,Commerce City,CO,USA,3.739
december-31-2021-rock-lititz-lititz-pa-usa,2021-12-31,Rock Lititz,Lititz,PA,USA,3.694
august-27-2021-gorge-amphitheatre-george-wa-usa,2021-08-27,Gorge Amphitheatre,George,WA,USA,3.593
august-29-2021-gorge-amphitheatre-george-wa-usa,2021-08-29,Gorge Amphitheatre,George,WA,USA,3.592
october-19-2021-matthew-knight-arena-eugene-or-usa,2021-10-19,Matthew Knight Arena,Eugene,OR,USA,3.522
october-15-2021-golden-1-center-sacramento-ca-usa,2021-10-15,Golden 1 Center,Sacramento,CA,USA,3.309
july-28-2021-walmart-arkansas-music-pavilion-rogers-ar-usa,2021-07-28,Walmart Arkansas Music Pavilion,Rogers,AR,USA,3.244
august-10-2021-hersheypark-stadium-hershey-pa-usa,2021-08-10,Hersheypark Stadium,Hershey,PA,USA,3.242
august-03-2021-ascend-amphitheater-nashville-tn-usa,2021-08-03,Ascend Amphitheater,Nashville,TN,USA,3.214
