show_id,date,venue,city,state,country,rating
december-31-1999-big-cypress-seminole-indian-reservation-big-cypress-fl-usa,1999-12-31,Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,4.702
december-30-1999-big-cypress-seminole-indian-reservation-big-cypress-fl-usa,1999-12-30,Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,4.641
july-23-1999-polaris-amphitheater-columbus-oh-usa,1999-07-23,Polaris Amphitheater,Columbus,OH,USA,4.615
september-14-1999-boise-state-university-pavilion-boise-id-usa,1999-09-14,Boise State University Pavilion,Boise,ID,USA,4.603
july-25-1999-deer-creek-music-center-noblesville-in-usa,1999-07-25,Deer Creek Music Center,Noblesville,IN,USA,4.601
july-18-1999-oswego-county-airport-volney-ny-usa,1999-07-18,Oswego County Airport,Volney,NY,USA,4.584
july-10-1999-e-centre-camden-nj-usa,1999-07-10,E Centre,Camden,NJ,USA,4.571
december-11-1999-first-union-spectrum-philadelphia-pa-usa,1999-12-11,First Union Spectrum,Philadelphia,PA,USA,4.54
december-16-1999-reynolds-coliseum-raleigh-nc-usa,1999-12-16,Reynolds Coliseum,Raleigh,NC,USA,4.528
september-18-1999-coors-amphitheatre-chula-vista-ca-usa,1999-09-18,Coors Amphitheatre,Chula Vista,CA,USA,4.524
september-29-1999-pyramid-arena-memphis-tn-usa,1999-09-29,Pyramid Arena,Memphis,TN,USA,4.519
december-02-1999-the-palace-of-auburn-hills-auburn-hills-mi-usa,1999-12-02,The Palace of Auburn Hills,Auburn Hills,MI,USA,4.508
july-15-1999-pnc-bank-arts-center-holmdel-nj-usa,1999-07-15,PNC Bank Arts Center,Holmdel,NJ,USA,4.498
december-29-1999-big-cypress-seminole-indian-reservation-big-cypress-fl-usa,1999-12-29,Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,4.48
september-12-1999-portland-meadows-portland-or-usa,1999-09-12,Portland Meadows,Portland,OR,USA,4.462
july-04-1999-lakewood-amphitheatre-atlanta-ga-usa,1999-07-04,Lakewood Amphitheatre,Atlanta,GA,USA,4.446
july-24-1999-alpine-valley-music-theatre-east-troy-wi-usa,1999-07-24,Alpine Valley Music Theatre,East Troy,WI,USA,4.412
october-02-1999-target-center-minneapolis-mn-usa,1999-10-02,Target Center,Minneapolis,MN,USA,4.394
september-17-1999-shoreline-amphitheatre-mountain-view-ca-usa,1999-09-17,Shoreline Amphitheatre,Mountain View,CA,USA,4.375
june-24-1999-the-barn-outer-burlington-vt-usa,1999-06-24,The Barn,Outer Burlington,VT,USA,4.357
december-18-1999-hampton-coliseum-hampton-va-usa,1999-12-18,Hampton Coliseum,Hampton,VA,USA,4.348
september-22-1999-pan-american-center-las-cruces-nm-usa,1999-09-22,Pan American Center,Las Cruces,NM,USA,4.336
july-13-1999-tweeter-center-mansfield-ma-usa,1999-07-13,Tweeter Center,Mansfield,MA,USA,4.333
july-17-1999-oswego-county-airport-volney-ny-usa,1999-07-17,Oswego County Airport,Volney,NY,USA,4.329
december-08-1999-cumberland-county-civic-center-portland-me-usa,1999-12-08,Cumberland County Civic Center,Portland,ME,USA,4.316
september-28-1999-oak-mountain-amphitheatre-pelham-al-usa,1999-09-28,Oak Mountain Amphitheatre,Pelham,AL,USA,4.275
july-07-1999-blockbuster-pavilion-charlotte-nc-usa,1999-07-07,Blockbuster Pavilion,Charlotte,NC,USA,4.261
october-08-1999-nassau-coliseum-uniondale-ny-usa,1999-10-08,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,4.234
july-31-1999-naeba-ski-resort-niigata-japan,1999-07-31,Naeba Ski Resort,Niigata,,Japan,4.23
december-07-1999-cumberland-county-civic-center-portland-me-usa,1999-12-07,Cumberland County Civic Center,Portland,ME,USA,4.193
july-12-1999-tweeter-center-mansfield-ma-usa,1999-07-12,Tweeter Center,Mansfield,MA,USA,4.19
september-24-1999-south-park-meadows-austin-tx-usa,1999-09-24,South Park Meadows,Austin,TX,USA,4.16
july-03-1999-lakewood-amphitheatre-atlanta-ga-usa,1999-07-03,Lakewood Amphitheatre,Atlanta,GA,USA,4.15
july-01-1999-first-american-music-center-antioch-tn-usa,1999-07-01,First American Music Center,Antioch,TN,USA,4.144
september-11-1999-gorge-amphitheatre-george-wa-usa,1999-09-11,Gorge Amphitheatre,George,WA,USA,4.1
september-09-1999-gm-place-vancouver-british-columbia-canada,1999-09-09,GM Place,"Vancouver, British Columbia",,Canada,4.093
july-21-1999-star-lake-amphitheatre-burgettstown-pa-usa,1999-07-21,Star Lake Amphitheatre,Burgettstown,PA,USA,4.051
september-21-1999-pima-county-fairgrounds-tucson-az-usa,1999-09-21,Pima County Fairgrounds,Tucson,AZ,USA,4.042
july-20-1999-molson-amphitheatre-toronto-ontario-canada,1999-07-20,Molson Amphitheatre,"Toronto, Ontario",,Canada,4.0
october-09-1999-pepsi-arena-albany-ny-usa,1999-10-09,Pepsi Arena,Albany,NY,USA,3.985
june-30-1999-sandstone-amphitheatre-bonner-springs-ks-usa,1999-06-30,Sandstone Amphitheatre,Bonner Springs,KS,USA,3.965
december-03-1999-firstar-center-cincinnati-oh-usa,1999-12-03,Firstar Center,Cincinnati,OH,USA,3.955
august-01-1999-naeba-ski-resort-niigata-japan,1999-08-01,Naeba Ski Resort,Niigata,,Japan,3.915
october-01-1999-hilton-coliseum-ames-ia-usa,1999-10-01,Hilton Coliseum,Ames,IA,USA,3.899
september-16-1999-shoreline-amphitheatre-mountain-view-ca-usa,1999-09-16,Shoreline Amphitheatre,Mountain View,CA,USA,3.881
october-07-1999-nassau-coliseum-uniondale-ny-usa,1999-10-07,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,3.867
december-13-1999-providence-civic-center-providence-ri-usa,1999-12-13,Providence Civic Center,Providence,RI,USA,3.85
july-09-1999-merriweather-post-pavilion-columbia-md-usa,1999-07-09,Merriweather Post Pavilion,Columbia,MD,USA,3.839
