show_id,date,venue,city,state,country,rating
august-22-2015-watkins-glen-international-watkins-glen-ny-usa,2015-08-22,Watkins Glen International,Watkins Glen,NY,USA,4.629
august-12-2015-the-mann-center-for-the-performing-arts-philadelphia-pa-usa,2015-08-12,The Mann Center for the Performing Arts,Philadelphia,PA,USA,4.578
july-31-2015-aarons-amphitheatre-at-lakewood-atlanta-ga-usa,2015-07-31,Aaron's Amphitheatre at Lakewood,Atlanta,GA,USA,4.576
december-31-2015-madison-square-garden-new-york-ny-usa,2015-12-31,Madison Square Garden,New York,NY,USA,4.572
august-15-2015-merriweather-post-pavilion-columbia-md-usa,2015-08-15,Merriweather Post Pavilion,Columbia,MD,USA,4.57
august-21-2015-watkins-glen-international-watkins-glen-ny-usa,2015-08-21,Watkins Glen International,Watkins Glen,NY,USA,4.569
september-06-2015-dicks-sporting-goods-park-commerce-city-co-usa,2015-09-06,Dick's Sporting Goods Park,Commerce City,CO,USA,4.568
august-09-2015-alpine-valley-music-theatre-east-troy-wi-usa,2015-08-09,Alpine Valley Music Theatre,East Troy,WI,USA,4.567
august-07-2015-blossom-music-center-cuyahoga-falls-oh-usa,2015-08-07,Blossom Music Center,Cuyahoga Falls,OH,USA,4.547
august-23-2015-watkins-glen-international-watkins-glen-ny-usa,2015-08-23,Watkins Glen International,Watkins Glen,NY,USA,4.51
august-20-2015-watkins-glen-international-watkins-glen-ny-usa,2015-08-20,Watkins Glen International,Watkins Glen,NY,USA,4.502
january-03-2015-american-airlines-arena-miami-fl-usa,2015-01-03,American Airlines Arena,Miami,FL,USA,4.44
august-04-2015-ascend-amphitheater-nashville-tn-usa,2015-08-04,Ascend Amphitheater,Nashville,TN,USA,4.426
july-24-2015-shoreline-amphitheatre-mountain-view-ca-usa,2015-07-24,Shoreline Amphitheatre,Mountain View,CA,USA,4.349
august-01-2015-aarons-amphitheatre-at-lakewood-atlanta-ga-usa,2015-08-01,Aaron's Amphitheatre at Lakewood,Atlanta,GA,USA,4.346
december-30-2015-madison-square-garden-new-york-ny-usa,2015-12-30,Madison Square Garden,New York,NY,USA,4.302
january-02-2015-american-airlines-arena-miami-fl-usa,2015-01-02,American Airlines Arena,Miami,FL,USA,4.162
july-25-2015-the-forum-inglewood-ca-usa,2015-07-25,The Forum,Inglewood,CA,USA,4.109
august-11-2015-the-mann-center-for-the-performing-arts-philadelphia-pa-usa,2015-08-11,The Mann Center for the Performing Arts,Philadelphia,PA,USA,4.05
july-22-2015-les-schwab-amphitheater-bend-or-usa,2015-07-22,Les Schwab Amphitheater,Bend,OR,USA,3.874
august-14-2015-walnut-creek-amphitheater-raleigh-nc-usa,2015-08-14,Walnut Creek Amphitheater,Raleigh,NC,USA,3.847
august-08-2015-alpine-valley-music-theatre-east-troy-wi-usa,2015-08-08,Alpine Valley Music Theatre,East Troy,WI,USA,3.829
september-04-2015-dicks-sporting-goods-park-commerce-city-co-usa,2015-09-04,Dick's Sporting Goods Park,Commerce City,CO,USA,3.825
september-05-2015-dicks-sporting-goods-park-commerce-city-co-usa,2015-09-05,Dick's Sporting Goods Park,Commerce City,CO,USA,3.821
july-29-2015-verizon-theatre-at-grand-prairie-grand-prairie-tx-usa,2015-07-29,Verizon Theatre at Grand Prairie,Grand Prairie,TX,USA,3.815
august-02-2015-tuscaloosa-amphitheater-tuscaloosa-al-usa,2015-08-02,Tuscaloosa Amphitheater,Tuscaloosa,AL,USA,3.674
august-05-2015-starlight-theatre-kansas-city-mo-usa,2015-08-05,Starlight Theatre,Kansas City,MO,USA,3.628
august-16-2015-merriweather-post-pavilion-columbia-md-usa,2015-08-16,Merriweather Post Pavilion,Columbia,MD,USA,3.496
july-21-2015-les-schwab-amphitheater-bend-or-usa,2015-07-21,Les Schwab Amphitheater,Bend,OR,USA,3.317
january-01-2015-american-airlines-arena-miami-fl-usa,2015-01-01,American Airlines Arena,Miami,FL,USA,2.967
july-28-2015-austin360-amphitheater-del-valle-tx-usa,2015-07-28,Austin360 Amphitheater,Del Valle,TX,USA,2.807
