show_id,date,venue,city,state,country,rating
june-14-2000-drum-logos-chuo-ku-fukuoka-japan,2000-06-14,Drum Logos,"Chuo-ku, Fukuoka",,Japan,4.653
july-11-2000-deer-creek-music-center-noblesville-in-usa,2000-07-11,Deer Creek Music Center,Noblesville,IN,USA,4.635
july-04-2000-e-centre-camden-nj-usa,2000-07-04,E Centre,Camden,NJ,USA,4.596
september-14-2000-darien-lake-performing-arts-center-darien-center-ny-usa,2000-09-14,Darien Lake Performing Arts Center,Darien Center,NY,USA,4.556
june-28-2000-pnc-bank-arts-center-holmdel-nj-usa,2000-06-28,PNC Bank Arts Center,Holmdel,NJ,USA,4.552
september-17-2000-merriweather-post-pavilion-columbia-md-usa,2000-09-17,Merriweather Post Pavilion,Columbia,MD,USA,4.544
june-29-2000-pnc-bank-arts-center-holmdel-nj-usa,2000-06-29,PNC Bank Arts Center,Holmdel,NJ,USA,4.534
october-07-2000-shoreline-amphitheatre-mountain-view-ca-usa,2000-10-07,Shoreline Amphitheatre,Mountain View,CA,USA,4.401
september-30-2000-thomas-mack-center-las-vegas-nv-usa,2000-09-30,Thomas & Mack Center,Las Vegas,NV,USA,4.328
june-22-2000-amsouth-amphitheatre-antioch-tn-usa,2000-06-22,AmSouth Amphitheatre,Antioch,TN,USA,4.316
june-16-2000-zepp-suminoe-ku-osaka-japan,2000-06-16,Zepp,"Suminoe-ku, Osaka",,Japan,4.303
june-15-2000-big-cat-chuo-ku-osaka-japan,2000-06-15,Big Cat,"Chuo-ku, Osaka",,Japan,4.298
june-30-2000-meadows-music-theatre-hartford-ct-usa,2000-06-30,Meadows Music Theatre,Hartford,CT,USA,4.295
september-22-2000-allstate-arena-rosemont-il-usa,2000-09-22,Allstate Arena,Rosemont,IL,USA,4.226
july-03-2000-e-centre-camden-nj-usa,2000-07-03,E Centre,Camden,NJ,USA,4.188
june-09-2000-on-air-east-shibuya-ku-tokyo-japan,2000-06-09,On Air East,"Shibuya-ku, Tokyo",,Japan,4.171
may-22-2000-radio-city-music-hall-new-york-ny-usa,2000-05-22,Radio City Music Hall,New York,NY,USA,4.16
september-18-2000-blossom-music-center-cuyahoga-falls-oh-usa,2000-09-18,Blossom Music Center,Cuyahoga Falls,OH,USA,4.147
june-24-2000-lakewood-amphitheatre-atlanta-ga-usa,2000-06-24,Lakewood Amphitheatre,Atlanta,GA,USA,4.122
july-08-2000-alpine-valley-music-theatre-east-troy-wi-usa,2000-07-08,Alpine Valley Music Theatre,East Troy,WI,USA,4.098
september-09-2000-pepsi-arena-albany-ny-usa,2000-09-09,Pepsi Arena,Albany,NY,USA,4.076
july-14-2000-polaris-amphitheater-columbus-oh-usa,2000-07-14,Polaris Amphitheater,Columbus,OH,USA,4.066
july-01-2000-meadows-music-theatre-hartford-ct-usa,2000-07-01,Meadows Music Theatre,Hartford,CT,USA,4.051
september-15-2000-hersheypark-stadium-hershey-pa-usa,2000-09-15,Hersheypark Stadium,Hershey,PA,USA,4.032
october-01-2000-desert-sky-pavilion-phoenix-az-usa,2000-10-01,Blockbuster Desert Sky Pavilion,Phoenix,AZ,USA,3.977
october-06-2000-shoreline-amphitheatre-mountain-view-ca-usa,2000-10-06,Shoreline Amphitheatre,Mountain View,CA,USA,3.953
july-15-2000-polaris-amphitheater-columbus-oh-usa,2000-07-15,Polaris Amphitheater,Columbus,OH,USA,3.939
july-07-2000-star-lake-amphitheatre-burgettstown-pa-usa,2000-07-07,Star Lake Amphitheatre,Burgettstown,PA,USA,3.929
july-10-2000-deer-creek-music-center-noblesville-in-usa,2000-07-10,Deer Creek Music Center,Noblesville,IN,USA,3.911
june-23-2000-lakewood-amphitheatre-atlanta-ga-usa,2000-06-23,Lakewood Amphitheatre,Atlanta,GA,USA,3.904
july-06-2000-molson-amphitheatre-toronto-ontario-canada,2000-07-06,Molson Amphitheatre,"Toronto, Ontario",,Canada,3.867
september-29-2000-thomas-mack-center-las-vegas-nv-usa,2000-09-29,Thomas & Mack Center,Las Vegas,NV,USA,3.831
september-08-2000-pepsi-arena-albany-ny-usa,2000-09-08,Pepsi Arena,Albany,NY,USA,3.828
june-10-2000-zepp-koto-ku-tokyo-japan,2000-06-10,Zepp,"Koto-ku, Tokyo",,Japan,3.828
september-27-2000-fiddlers-green-englewood-co-usa,2000-09-27,Fiddler's Green,Englewood,CO,USA,3.826
july-12-2000-deer-creek-music-center-noblesville-in-usa,2000-07-12,Deer Creek Music Center,Noblesville,IN,USA,3.817
september-23-2000-allstate-arena-rosemont-il-usa,2000-09-23,Allstate Arena,Rosemont,IL,USA,3.8
september-20-2000-riverbend-music-center-cincinnati-oh-usa,2000-09-20,Riverbend Music Center,Cincinnati,OH,USA,3.771
