show_id,date,venue,city,state,country,rating
december-30-1997-madison-square-garden-new-york-ny-usa,1997-12-30,Madison Square Garden,New York,NY,USA,4.643
november-17-1997-mcnichols-arena-denver-co-usa,1997-11-17,McNichols Arena,Denver,CO,USA,4.641
august-17-1997-loring-commerce-centre-limestone-me-usa,1997-08-17,Loring Commerce Centre,Limestone,ME,USA,4.64
november-22-1997-hampton-coliseum-hampton-va-usa,1997-11-22,Hampton Coliseum,Hampton,VA,USA,4.638
december-11-1997-rochester-war-memorial-rochester-ny-usa,1997-12-11,Rochester War Memorial,Rochester,NY,USA,4.635
august-16-1997-loring-commerce-centre-limestone-me-usa,1997-08-16,Loring Commerce Centre,Limestone,ME,USA,4.63
december-07-1997-ervin-j-nutter-center-wright-state-university-dayton-oh-usa,1997-12-07,"Ervin J. Nutter Center, Wright State University",Dayton,OH,USA,4.623
december-06-1997-the-palace-of-auburn-hills-auburn-hills-mi-usa,1997-12-06,The Palace of Auburn Hills,Auburn Hills,MI,USA,4.614
february-17-1997-paradiso-amsterdam-netherlands,1997-02-17,Paradiso,Amsterdam,,Netherlands,4.611
november-23-1997-lawrence-joel-veterans-memorial-coliseum-winston-salem-nc-usa,1997-11-23,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,USA,4.607
november-19-1997-assembly-hall-university-of-illinois-champaign-il-usa,1997-11-19,"Assembly Hall, University of Illinois",Champaign,IL,USA,4.606
november-21-1997-hampton-coliseum-hampton-va-usa,1997-11-21,Hampton Coliseum,Hampton,VA,USA,4.604
december-02-1997-corestates-spectrum-philadelphia-pa-usa,1997-12-02,CoreStates Spectrum,Philadelphia,PA,USA,4.596
july-21-1997-virginia-beach-amphitheater-virginia-beach-va-usa,1997-07-21,GTE Virginia Beach Amphitheater,Virginia Beach,VA,USA,4.594
december-29-1997-madison-square-garden-new-york-ny-usa,1997-12-29,Madison Square Garden,New York,NY,USA,4.582
july-01-1997-paradiso-amsterdam-netherlands,1997-07-01,Paradiso,Amsterdam,,Netherlands,4.579
july-23-1997-lakewood-amphitheatre-atlanta-ga-usa,1997-07-23,Lakewood Amphitheatre,Atlanta,GA,USA,4.574
july-02-1997-paradiso-amsterdam-netherlands,1997-07-02,Paradiso,Amsterdam,,Netherlands,4.573
august-10-1997-deer-creek-music-center-noblesville-in-usa,1997-08-10,Deer Creek Music Center,Noblesville,IN,USA,4.57
december-03-1997-corestates-spectrum-philadelphia-pa-usa,1997-12-03,CoreStates Spectrum,Philadelphia,PA,USA,4.568
july-30-1997-ventura-county-fairgrounds-ventura-ca-usa,1997-07-30,Ventura County Fairgrounds,Ventura,CA,USA,4.564
july-22-1997-walnut-creek-amphitheater-raleigh-nc-usa,1997-07-22,Walnut Creek Amphitheater,Raleigh,NC,USA,4.556
july-31-1997-shoreline-amphitheatre-mountain-view-ca-usa,1997-07-31,Shoreline Amphitheatre,Mountain View,CA,USA,4.537
november-28-1997-worcester-centrum-centre-worcester-ma-usa,1997-11-28,Worcester Centrum Centre,Worcester,MA,USA,4.511
august-09-1997-alpine-valley-music-theatre-east-troy-wi-usa,1997-08-09,Alpine Valley Music Theatre,East Troy,WI,USA,4.496
november-26-1997-hartford-civic-center-hartford-ct-usa,1997-11-26,Hartford Civic Center,Hartford,CT,USA,4.49
december-13-1997-pepsi-arena-albany-ny-usa,1997-12-13,Pepsi Arena,Albany,NY,USA,4.487
november-14-1997-the-e-center-west-valley-city-ut-usa,1997-11-14,The “E” Center,West Valley City,UT,USA,4.478
november-29-1997-worcester-centrum-centre-worcester-ma-usa,1997-11-29,Worcester Centrum Centre,Worcester,MA,USA,4.462
august-13-1997-star-lake-amphitheatre-burgettstown-pa-usa,1997-08-13,Star Lake Amphitheatre,Burgettstown,PA,USA,4.45
march-01-1997-markthalle-hamburg-germany,1997-03-01,Markthalle,Hamburg,,Germany,4.437
june-25-1997-laeronef-lille-france,1997-06-25,L’Aeronef,Lille,,France,4.436
july-10-1997-espace-julien-marseilles-france,1997-07-10,Espace Julien,Marseilles,,France,4.432
february-26-1997-longhorn-stuttgart-germany,1997-02-26,Longhorn,Stuttgart,,Germany,4.427
november-30-1997-worcester-centrum-centre-worcester-ma-usa,1997-11-30,Worcester Centrum Centre,Worcester,MA,USA,4.417
