show_id,date,venue,city,state,country,rating
may-17-1992-achilles-rink-union-college-schenectady-ny-usa,1992-05-17,"Achilles Rink, Union College",Schenectady,NY,USA,4.504
march-20-1992-broome-county-forum-binghamton-ny-usa,1992-03-20,Broome County Forum,Binghamton,NY,USA,4.496
april-18-1992-wilbur-field-stanford-university-palo-alto-ca-usa,1992-04-18,"Wilbur Field, Stanford University",Palo Alto,CA,USA,4.487
march-13-1992-campus-club-providence-ri-usa,1992-03-13,Campus Club,Providence,RI,USA,4.48
april-21-1992-redwood-acres-fairgrounds-eureka-ca-usa,1992-04-21,Redwood Acres Fairgrounds,Eureka,CA,USA,4.474
december-31-1992-matthews-arena-northeastern-university-boston-ma-usa,1992-12-31,"Matthews Arena, Northeastern University",Boston,MA,USA,4.452
november-19-1992-ross-arena-st-michaels-college-colchester-vt-usa,1992-11-19,"Ross Arena, St. Michael's College",Colchester,VT,USA,4.447
december-12-1992-the-spectrum-toronto-ontario-canada,1992-12-12,The Spectrum,"Toronto, Ontario",,Canada,4.439
april-16-1992-anaconda-theatre-isla-vista-ca-usa,1992-04-16,Anaconda Theatre,Isla Vista,CA,USA,4.436
december-30-1992-symphony-hall-springfield-ma-usa,1992-12-30,Symphony Hall,Springfield,MA,USA,4.431
november-28-1992-the-capitol-theatre-port-chester-ny-usa,1992-11-28,The Capitol Theatre,Port Chester,NY,USA,4.426
may-14-1992-the-capitol-theatre-port-chester-ny-usa,1992-05-14,The Capitol Theatre,Port Chester,NY,USA,4.421
july-25-1992-stowe-performing-arts-center-stowe-vt-usa,1992-07-25,Stowe Performing Arts Center,Stowe,VT,USA,4.412
april-17-1992-warfield-theatre-san-francisco-ca-usa,1992-04-17,Warfield Theatre,San Francisco,CA,USA,4.4
may-06-1992-st-andrews-hall-detroit-mi-usa,1992-05-06,St. Andrew's Hall,Detroit,MI,USA,4.382
november-20-1992-palace-theatre-albany-ny-usa,1992-11-20,Palace Theatre,Albany,NY,USA,4.378
november-22-1992-bailey-hall-cornell-university-ithaca-ny-usa,1992-11-22,"Bailey Hall, Cornell University",Ithaca,NY,USA,4.375
march-06-1992-the-music-hall-portsmouth-nh-usa,1992-03-06,The Music Hall,Portsmouth,NH,USA,4.354
march-07-1992-the-music-hall-portsmouth-nh-usa,1992-03-07,The Music Hall,Portsmouth,NH,USA,4.341
april-30-1992-barrymore-theatre-madison-wi-usa,1992-04-30,Barrymore Theatre,Madison,WI,USA,4.333
november-27-1992-the-capitol-theatre-port-chester-ny-usa,1992-11-27,The Capitol Theatre,Port Chester,NY,USA,4.326
april-19-1992-the-catalyst-santa-cruz-ca-usa,1992-04-19,The Catalyst,Santa Cruz,CA,USA,4.318
july-15-1992-trax-charlottesville-va-usa,1992-07-15,Trax,Charlottesville,VA,USA,4.312
december-03-1992-bogarts-cincinnati-oh-usa,1992-12-03,Bogart's,Cincinnati,OH,USA,4.3
december-06-1992-the-vic-theatre-chicago-il-usa,1992-12-06,The Vic Theatre,Chicago,IL,USA,4.29
december-05-1992-the-vic-theatre-chicago-il-usa,1992-12-05,The Vic Theatre,Chicago,IL,USA,4.279
november-21-1992-pritchard-gym-sb-sports-complex-suny-stony-brook-stony-brook-ny-usa,1992-11-21,"Pritchard Gym, SB Sports Complex, SUNY Stony Brook",Stony Brook,NY,USA,4.268
april-06-1992-paul-wright-gym-western-state-college-gunnison-co-usa,1992-04-06,"Paul Wright Gym, Western State College",Gunnison,CO,USA,4.263
november-23-1992-broome-county-forum-binghamton-ny-usa,1992-11-23,Broome County Forum,Binghamton,NY,USA,4.257
december-29-1992-palace-theatre-new-haven-ct-usa,1992-12-29,Palace Theatre,New Haven,CT,USA,4.243
august-17-1992-the-coach-house-san-juan-capistrano-ca-usa,1992-08-17,The Coach House,San Juan Capistrano,CA,USA,4.242
may-09-1992-the-syracuse-armory-syracuse-ny-usa,1992-05-09,The Syracuse Armory,Syracuse,NY,USA,4.222
march-24-1992-flood-zone-richmond-va-usa,1992-03-24,Flood Zone,Richmond,VA,USA,4.209
march-26-1992-ziggys-winston-salem-nc-usa,1992-03-26,Ziggy's,Winston-Salem,NC,USA,4.2
april-24-1992-roseland-theater-portland-or-usa,1992-04-24,Roseland Theater,Portland,OR,USA,4.121
july-24-1992-jones-beach-amphitheater-wantagh-ny-usa,1992-07-24,Jones Beach Amphitheater,Wantagh,NY,USA,4.105
august-30-1992-cal-expo-amphitheater-sacramento-ca-usa,1992-08-30,Cal Expo Amphitheater,Sacramento,CA,USA,4.067
may-02-1992-cabaret-metro-chicago-il-usa,1992-05-02,Cabaret Metro,Chicago,IL,USA,4.0
may-08-1992-the-riviera-theatre-north-tonawanda-ny-usa,1992-05-08,The Riviera Theatre,North Tonawanda,NY,USA,4.0
december-11-1992-michigan-theater-ann-arbor-mi-usa,1992-12-11,Michigan Theater,Ann Arbor,MI,USA,3.962
july-16-1992-flood-zone-richmond-va-usa,1992-07-16,Flood Zone,Richmond,VA,USA,3.954
march-14-1992-roseland-ballroom-new-york-ny-usa,1992-03-14,Roseland Ballroom,New York,NY,USA,3.92
december-01-1992-livingston-gymnasium-denison-university-granville-oh-usa,1992-12-01,"Livingston Gymnasium, Denison University",Granville,OH,USA,3.91
december-07-1992-first-avenue-minneapolis-mn-usa,1992-12-07,First Avenue,Minneapolis,MN,USA,3.9
april-25-1992-campus-recreation-center-evergreen-college-olympia-wa-usa,1992-04-25,"Campus Recreation Center, Evergreen College",Olympia,WA,USA,3.893
december-10-1992-state-theater-kalamazoo-mi-usa,1992-12-10,State Theater,Kalamazoo,MI,USA,3.815
march-21-1992-chestnut-cabaret-philadelphia-pa-usa,1992-03-21,Chestnut Cabaret,Philadelphia,PA,USA,3.8
april-13-1992-after-the-gold-rush-tempe-az-usa,1992-04-13,After the Gold Rush,Tempe,AZ,USA,3.8
august-24-1992-gerald-ford-amphitheater-vail-co-usa,1992-08-24,Gerald Ford Amphitheater,Vail,CO,USA,3.8
october-30-1992-boston-garden-boston-ma-usa,1992-10-30,Boston Garden,Boston,MA,USA,3.794
march-19-1992-palace-theatre-new-haven-ct-usa,1992-03-19,Palace Theatre,New Haven,CT,USA,3.786
november-25-1992-keswick-theatre-glenside-pa-usa,1992-11-25,Keswick Theatre,Glenside,PA,USA,3.786
december-28-1992-palace-theatre-new-haven-ct-usa,1992-12-28,Palace Theatre,New Haven,CT,USA,3.767
march-28-1992-variety-playhouse-atlanta-ga-usa,1992-03-28,Variety Playhouse,Atlanta,GA,USA,3.765
april-22-1992-hilton-ballroom-eugene-or-usa,1992-04-22,Hilton Ballroom,Eugene,OR,USA,3.75
december-13-1992-le-spectrum-montral-qubec-canada,1992-12-13,Le Spectrum,"Montréal, Québec",,Canada,3.75
